Fecha;Ciudad;Temperatura Máxima (C);Temperatura Mínima (C);Precipitación (mm);Nubosidad (%)
11/09/2020;Madrid;11,55;6,25;0;10
12/09/2020;Madrid;12,35;5,25;0,2;60
13/09/2020;Madrid;12,65;7,15;0;30
14/09/2020;Madrid;15,75;5,85;1,4;80
15/09/2020;Madrid;16,65;8,15;2,6;100
16/09/2020;Madrid;16,35;8,05;0,3;50
17/09/2020;Madrid;20,25;7,15;0,1;20
18/09/2020;Madrid;22,35;8,65;0,1;10
19/09/2020;Madrid;21,35;10,85;0;0
20/09/2020;Madrid;20,25;10,45;0;10
21/09/2020;Madrid;20,85;10,55;0;0
22/09/2020;Madrid;21,95;11,25;0;0
23/09/2020;Madrid;21,45;11,65;0;0
24/09/2020;Madrid;22,65;12,45;0;0
25/09/2020;Madrid;23,35;11,75;0;10
26/09/2020;Madrid;22,45;11,85;0;30
27/09/2020;Madrid;21,45;12,95;0,6;60
28/09/2020;Madrid;17,45;11,25;1,2;90
29/09/2020;Madrid;14,35;8,85;0;50
30/09/2020;Madrid;13,65;6,05;0;10
2020/09/31;Madrid;13,65;6,05;0;10
01/10/2020;Madrid;14,65;6,15;0;0
02/10/2020;Madrid;16,65;5,65;0;0
03/10/2020;Madrid;18,65;9,45;0;0
04/10/2020;Madrid;19,05;9,05;0;10
05/10/2020;Madrid;22,25;9,85;0;30
06/10/2020;Madrid;22,45;11,95;0,2;50
07/10/2020;Madrid;21,75;12,85;0;0
08/10/2020;Madrid;22,45;12,65;0;0
09/10/2020;Madrid;22,45;12,55;0;10
10/10/2020;Madrid;20,95;13,25;0;0
11/09/2020;Sevilla;13.86;7,5;0;20
12/09/2020;Sevilla;14.82;6,3;0,1;70
13/09/2020;Sevilla;15.18;8,58;0;30
14/09/2020;Sevilla;18.9;7,02;0,6;70
15/09/2020;Sevilla;19.98;9,78;1,6;90
16/09/2020;Sevilla;19.62;9,66;0,1;20
17/09/2020;Sevilla;24.3;8,58;0;10
18/09/2020;Sevilla;26.82;10,38;0;0
19/09/2020;Sevilla;25.62;13,02;0;0
20/09/2020;Sevilla;24.3;12,54;0,1;20
21/09/2020;Sevilla;25.02;12,66;0;0
22/09/2020;Sevilla;26.34;13,5;0;0
23/09/2020;Sevilla;25.74;13,98;0;0
24/09/2020;Sevilla;27.18;14,94;0;0
25/09/2020;Sevilla;28.02;14,1;0;20
26/09/2020;Sevilla;26.94;14,22;0,1;30
27/09/2020;Sevilla;25.74;15,54;0,3;70
28/09/2020;Sevilla;20.94;13,5;1;80
29/09/2020;Sevilla;17.22;10,62;0,1;40
30/09/2020;Sevilla;16.38;7,26;0;10
2020/09/31;Sevilla;16.38;7,26;0;0
01/10/2020;Sevilla;17.58;7,38;0;0
02/10/2020;Sevilla;19.98;6,78;0;0
03/10/2020;Sevilla;22.38;11,34;0;10
04/10/2020;Sevilla;22.86;10,86;0;20
05/10/2020;Sevilla;26.7;11,82;0;30
06/10/2020;Sevilla;26.94;14,34;0;20
07/10/2020;Sevilla;26.1;15,42;0;0
08/10/2020;Sevilla;26.94;15,18;0;0
09/10/2020;Sevilla;26.94;15,06;0;10
10/10/2020;Sevilla;25.14;15,9;0;0
11/09/2020;Gijón;9,24;5;0;20
12/09/2020;Gijón;9,88;4,2;1,2;80
13/09/2020;Gijón;10,12;5,72;0;30
14/09/2020;Gijón;12,6;4,68;2,3;100
15/09/2020;Gijón;13,32;6,52;3,2;100
16/09/2020;Gijón;13,08;6,44;0,6;80
17/09/2020;Gijón;16,2;5,72;0,4;40
18/09/2020;Gijón;17,88;6,92;0,2;30
19/09/2020;Gijón;17,08;8,68;0;20
20/09/2020;Gijón;16,2;8,36;0,5;70
21/09/2020;Gijón;16,68;8,44;0;20
22/09/2020;Gijón;17,56;9;0;30
23/09/2020;Gijón;17,16;9,32;0;20
24/09/2020;Gijón;18,12;9,96;0;10
25/09/2020; Gijón;18,68;9,4;0;10
26/09/2020; Gijón;17,96;9,48;0,3;40
27/09/2020; Gijón;17,16;10,36;0,9;70
28/09/2020; Gijón;13,96;9;1,8;100
29/09/2020; Gijón;11,48;7,08;0,6;90
30/09/2020; Gijón;10,92;4,84;0;40
2020/09/31; Gijón;10,92;4,84;0;30
01/10/2020; Gijón;11,72;4,92;0;10
02/10/2020; Gijón;13,32;4,52;0;10
03/10/2020; Gijón;14,92;7,56;0;0
04/10/2020; Gijón;15,24;7,24;0,1;20
05/10/2020; Gijón;17,8;7,88;0,1;40
06/10/2020; Gijón;17,96;9,56;0,6;70
07/10/2020; Gijón;17,4;10,28;0,1;10
08/10/2020; Gijón;17,96;10,12;0;0
09/10/2020; Gijón;17,96;10,04;0,1;30
10/10/2020; Gijón;16,76;10,6;0;0
11/09/2020;Valencia;12,705;6,875;0,3;20
12/09/2020;Valencia;13,585;5,775;0;20
13/09/2020;Valencia;13,915;7,865;1,6;60
14/09/2020;Valencia;17,325;6,435;3;100
15/09/2020;Valencia;18,315;8,965;0,5;20
16/09/2020;Valencia;17,985;8,855;0;10
17/09/2020;Valencia;22,275;7,865;0;0
18/09/2020;Valencia;24,585;9,515;0;0
19/09/2020;Valencia;23,485;11,935;0;0
20/09/2020;Valencia;22,275;11,495;0;0
21/09/2020;Valencia;22,935;11,605;0;0
22/09/2020;Valencia;24,145;12,375;0;0
23/09/2020;Valencia;23,595;12,815;0;10
24/09/2020;Valencia;24,915;13,695;0;10
25/09/2020;Valencia;25,685;12,925;0;20
26/09/2020;Valencia;24,695;13,035;0,8;40
27/09/2020;Valencia;23,595;14,245;1,6;70
28/09/2020;Valencia;19,195;12,375;0,8;90
29/09/2020;Valencia;15,785;9,735;0,4;20
30/09/2020;Valencia;15,015;6,655;;10
